X,Y
0,0
0.058095126,0.242223342
0.408154966,0.644649504
0.787831519,0.725190889
1.156341115,0.884453339
1.52485071,1.057453376
1.893360306,1.186187853
2.261869901,1.250813585
2.630379497,1.292543338
2.998889093,1.351063476
3.367398688,1.426373999
3.735908284,1.431470184
4.104417879,1.431987173
4.472927475,1.45692654
4.84143707,1.504761888
5.209946666,1.544965242
5.578456262,1.566851812
5.946965857,1.59026478
6.315475453,1.61215135
6.683985048,1.629458725
7.052494644,1.655924491
7.42100424,1.683916655
7.789513835,1.725646408
8.158023431,1.75669137
8.526533026,1.757208359
8.895042622,1.757725348
9.263552217,1.758242336
9.632061813,1.760285724
10.00057141,1.776066699
10.369081,1.797953269
10.7375906,1.816787042
11.1061002,1.838673612
11.47460979,1.859033783
11.84311939,1.865656367
12.21162898,1.879910944
12.58013858,1.912482304
12.94864817,1.952685658
13.31715777,1.97304583
13.68566736,2.008669988
14.05417696,2.047346943
14.42268656,2.058548722
14.79119615,2.068224103
15.15970575,2.08247868
15.52821534,2.099786054
15.89672494,2.130831016
16.26523453,2.155770383
16.63374413,2.171551359
17.00225372,2.18122674
17.37076332,2.193954918
17.73927292,2.22499988
18.10778251,2.254518443
18.47629211,2.270299418
18.8448017,2.284553995
19.2133113,2.300334971
19.58182089,2.331379933
19.95033049,2.359372097
20.31884008,2.361415485
20.68734968,2.361932474
21.05585928,2.344132678
21.42436887,2.289699315
21.79287847,2.255109135
22.16138806,2.211360562
22.52989766,2.185928774
22.89840725,2.148285796
23.26691685,2.069430054
23.63542645,1.987521515
24.00393604,1.894928186
24.37244564,1.796229261
24.74095523,1.676160756
25.10946483,1.499615499
25.47797442,1.301700662
25.84648402,1.076310649
26.21499361,0.840235845
26.58350321,0.605687439
27,0
